chemical_name,toxid,toxprofiles_id,toxfaqs_faqid,toxprofiles_url,toxfaqs_url
Beryllium,33,1441,184,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=1441&tid=33,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=184&toxid=33
Bis(2-chloroethyl) Ether,159,817,816,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=817&tid=159,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=816&toxid=159
Bis(chloromethyl) Ether,188,919,918,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=919&tid=188,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=918&toxid=188
Blister Agents HN-1HN-2HN-3 Nitrogen Mustards,189,,921,,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=921&toxid=189
"Blister Agents: Lewisite (L), Mustard-Lewisite Mixture (HL)",190,,923,,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=923&toxid=190
"Blister Agents: Sulfur Mustard Agent H/HD, Sulfur Mustard Agent HT",191,,926,,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=926&toxid=191
Boron,80,453,452,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=453&tid=80,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=452&toxid=80
Bromodichloromethane,127,708,707,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=708&tid=127,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=707&toxid=127
Bromoform & Dibromochloromethane,128,713,712,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=713&tid=128,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=712&toxid=128
Bromomethane,160,822,821,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=822&tid=160,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=821&toxid=160
Cadmium,15,48,47,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=48&tid=15,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=47&toxid=15
Calcium Hypochlorite/Sodium Hypochlorite,192,,928,,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=928&toxid=192
Carbon Disulfide,84,474,473,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=474&tid=84,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=473&toxid=84
Carbon Monoxide,253,1145,1163,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=1145&tid=253,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=1163&toxid=253
